HR,Irradiance,Temperature,Humidity,POWER
0,0,20.89,57.7,0
1,0,20.14,59.48,0
2,0,19.54,59.73,0
3,0,18.9,59.23,0
4,0,18.18,59.06,0
5,0,17.53,59.05,0
6,14,17.34,59.49,0.221742
7,136.43,19.65,42.71,1.787994775
8,314.25,22.65,31.93,4.461430625
9,476.42,25.9,25.09,7.4292501
10,636.45,29.07,20.71,10.81240818
11,712.45,31.73,17.47,12.95440483
12,726.12,33,16.71,13.625832
13,548.78,33.53,16.48,10.46819203
14,420.1,33.52,16.72,8.0521634
15,278.67,33.06,17.59,5.34078609
16,127.15,31.91,22.25,2.462622925
17,25.98,28.39,42.21,0.59933249
18,0,26.34,42.85,0
19,0,25.1,45.08,0
20,0,24,47.65,0
21,0,22.88,51.21,0
22,0,21.9,54.93,0
23,0,21.18,57.94,0
0,0,20.54,61.21,0
1,0,19.9,65.13,0
2,0,19.24,69.57,0
3,0,18.68,74.01,0
4,0,18.39,77.31,0
5,0,18.3,79.66,0
6,14.68,18.48,82.06,0.23712888
7,157.98,21.17,71.41,2.16742147
8,367.98,24.74,53.64,5.55664634
9,502.68,28.72,35.73,8.47168632
10,740.42,31.41,27.24,13.34204149
11,827.75,33.19,23.48,15.57692263
12,863.38,34.17,21.8,16.63343757
13,793.47,34.6,21.07,15.4598404
14,651.2,34.52,21.12,12.6977408
15,448,33.82,22.14,8.648112
16,225.23,32.38,26.68,4.28643883
17,46.55,28.25,47.29,0.936329375
18,0,25.55,52.45,0
19,0,24.56,54.11,0
20,0,23.7,57.22,0
21,0,22.92,61.27,0
22,0,22.2,65.77,0
23,0,21.56,70.46,0
0,0,20.96,75.28,0
1,0,20.42,80.2,0
2,0,20.02,84.71,0
3,0,19.87,87.99,0
4,0,19.84,90.22,0
5,0,19.62,92.49,0
6,15.05,19.69,92.58,0.249788025
7,146.95,21.9,81.65,2.06925475
8,317.12,25.58,63.11,4.91956832
9,506.45,29.02,47.72,8.60291805
10,658.8,31.35,38.76,11.864521
11,752.72,33.03,32.91,14.12075372
12,834.62,34.24,28.93,16.10964996
13,769.15,34.81,26.79,15.06266268
14,629.35,34.85,25.68,12.36984388
15,430.67,34.19,26.11,8.391085785
16,239.27,32.74,29.33,4.58242741
17,49.17,28.62,46.02,0.98764793
18,0,25.76,53.87,0
19,0,24.83,55.5,0
20,0,24,57.9,0
21,0,23.24,61.84,0
22,0,22.61,67.21,0
23,0,22.06,73.83,0
0,0,21.57,80.6,0
1,0,21.14,86.19,0
2,0,20.9,90.16,0
3,0,20.91,92.06,0
4,0,20.69,94.24,0
5,0,20.05,97.58,0
6,14.05,19.53,98.54,0.236165925
7,143.12,21.59,82.99,1.99718236
8,351.45,24.37,61.19,5.252113925
9,498.9,26.92,41.18,8.0045496
10,658.4,29.18,28.19,11.2144504
11,741.1,31.01,21.69,13.23080495
12,830.9,32.26,18.68,15.2980503
13,751.42,32.92,17.48,14.07936088
14,586.83,33.01,17.28,11.05767874
15,409.88,32.47,18.04,7.67601162
16,220.88,30.97,22.27,4.06659412
17,45.72,26.44,42.29,0.88542656
18,0,23.69,49.1,0
19,0,22.79,51.66,0
20,0,22.04,54.1,0
21,0,21.44,55.81,0
22,0,20.95,56.68,0
23,0,20.37,57.88,0
0,0,19.53,60.33,0
1,0,18.5,62.77,0
2,0,17.53,64.05,0
3,0,16.66,64.46,0
4,0,16,64.75,0
5,0,15.49,65.78,0
6,15.3,15.66,65.11,0.2251941
7,159.52,18.08,55.73,1.96605472
8,352.55,21.81,40.68,4.862164475
9,557.58,25.79,27.02,8.65191969
10,723.72,29.01,20.51,12.26175274
11,820.97,31.31,17.69,14.75569432
12,809.75,32.61,16.6,15.03923888
13,735.22,33.29,16.18,13.90103821
14,592.58,33.35,16.27,11.25531935
15,393.85,32.7,17.19,7.42244025
16,234.2,30.75,25.04,4.2789925
17,46.12,26.2,45.33,0.8867048
18,0,23.81,49.01,0
19,0,22.94,51.08,0
20,0,22.24,52.97,0
21,0,21.63,54.8,0
22,0,21.02,56.38,0
23,0,20.34,58.07,0
0,0,19.51,60.36,0
1,0,18.5,63.67,0
2,0,17.49,66.74,0
3,0,16.6,69.12,0
4,0,15.81,71.41,0
5,0,15.06,73.97,0
6,13.5,15.04,75.22,0.201993
7,145.8,18.27,58.83,1.8154447
8,367,21.84,45.42,5.063126
9,518.75,26.52,28.75,8.226075
10,686.62,29.65,21.82,11.83605235
11,767.67,31.68,19.01,13.93266602
12,829.58,32.9,17.63,15.5128569
13,760.38,33.57,16.93,14.46810547
14,613.53,33.63,16.66,11.72559376
15,419.85,33.07,17.18,7.972435275
16,230.05,31.3,24.34,4.26294175
17,47.38,26.7,45.08,0.9169457
18,0,24.01,47.55,0
19,0,22.81,49.47,0
20,0,21.8,51.91,0
21,0,20.91,55.14,0
22,0,20.12,59.22,0
23,0,19.41,64.52,0
0,0,18.78,70.76,0
1,0,18.25,76.99,0
2,0,17.95,81.85,0
3,0,17.88,85.2,0
4,0,17.73,87.9,0
5,0,17.34,90.78,0
6,11.75,17.19,91.89,0.194954625
7,111.55,19.18,81.87,1.45110055
8,280.08,21.91,67.32,3.89174876
9,440.83,25.95,46.01,6.890904825
10,622.95,28.69,34.58,10.47865848
11,707.72,30.52,28.91,12.48377648
12,755.55,31.48,25.68,13.6564338
